checkpoint_timestamp,voxel_x,voxel_y,voxel_z,first_seen_time,last_seen_time,total_point_hits,observed_frames,active_time_bins,sum_x,sum_y,sum_z
1658137044.824914217,0,-1,-16,1658137042.924814939,1658137044.824914217,47,15,1,29.773456872,-22.514757277,-726.150671959
1658137044.824914217,-1,-17,-3,1658137042.924814939,1658137044.524908304,53,11,1,-29.850289389,-868.126394272,-135.012363672
1658137044.824914217,0,-2,-16,1658137042.924814939,1658137044.624745369,52,15,1,32.225244761,-76.622090936,-803.839124680
1658137044.824914217,0,-3,-16,1658137042.924814939,1658137043.924834490,6,5,1,3.551125407,-13.203840017,-91.385949135
1658137044.824914217,0,4,12,1658137043.024902582,1658137044.824914217,8,6,1,0.070471287,37.407570839,99.987034798
1658137044.824914217,0,5,12,1658137043.024902582,1658137044.824914217,4,3,1,0.018097836,21.198637009,50.390569687
1658137044.824914217,-1,-2,14,1658137043.024902582,1658137044.824914217,46,13,1,-10.203258753,-70.453374863,664.830494881
1658137044.824914217,-2,-4,13,1658137043.024902582,1658137044.824914217,23,9,1,-34.118591309,-75.320161819,319.905761719
1658137044.824914217,-1,-4,14,1658137043.024902582,1658137044.824914217,13,9,1,-8.685839891,-50.323642731,186.228264809
1658137044.824914217,-1,-6,14,1658137043.024902582,1658137044.824914217,28,10,1,-6.616404369,-152.051644325,405.988530159
1658137044.824914217,-1,-3,13,1658137043.024902582,1658137044.824914217,66,14,1,-30.031177044,-164.957799435,891.356184006
1658137044.824914217,0,11,3,1658137043.024902582,1658137044.824914217,14,7,1,1.502148327,161.426914215,44.889008760
1658137044.824914217,-1,10,3,1658137043.024902582,1658137044.824914217,40,10,1,-6.301626499,424.294733047,144.553111792
1658137044.824914217,0,10,3,1658137043.024902582,1658137044.824914217,21,11,1,1.594210947,219.077330589,71.588907480
1658137044.824914217,0,11,2,1658137043.024902582,1658137044.824914217,39,9,1,8.356103446,445.099167824,98.910984278
1658137044.824914217,0,10,1,1658137043.024902582,1658137044.824914217,40,7,1,7.492864174,421.778832436,58.322575212
1658137044.824914217,0,10,0,1658137043.024902582,1658137044.624745369,29,8,1,6.166782722,302.509396553,14.554003526
1658137044.824914217,0,10,-1,1658137043.024902582,1658137044.624745369,25,9,1,6.640634291,261.985838890,-12.999770556
1658137044.824914217,-1,6,11,1658137043.024902582,1658137044.824914217,49,13,1,-10.970094143,319.524038315,562.766665459
1658137044.824914217,-1,-16,2,1658137043.024902582,1658137044.624745369,27,10,1,-14.998744965,-415.737571716,65.870169163
1658137044.824914217,-1,-3,14,1658137043.024902582,1658137044.824914217,32,12,1,-21.654326677,-74.261787891,458.638166428
1658137044.824914217,-10,-4,-3,1658137043.024902582,1658137043.024902582,1,1,1,-9.192234993,-3.571154833,-2.394236803
1658137044.824914217,0,9,-7,1658137043.024902582,1658137044.324722767,29,7,1,11.085504815,274.132131577,-188.089908123
