voxel_x,voxel_y,voxel_z,center_x,center_y,center_z,mean_x,mean_y,mean_z,first_seen_time,last_seen_time,lifespan_sec,total_point_hits,observed_frames,active_time_bins
-1,-7,8,-0.500000000,-6.500000000,8.500000000,-0.184423862,-6.525083009,8.535872600,1658137041.624929428,1658137044.824914217,3.199984789,68,17,1
-1,4,5,-0.500000000,4.500000000,5.500000000,-0.224547217,4.561148614,5.760927334,1658137041.624929428,1658137044.824914217,3.199984789,32,18,1
-1,5,5,-0.500000000,5.500000000,5.500000000,-0.259973199,5.199221047,5.694752737,1658137041.624929428,1658137044.824914217,3.199984789,22,14,1
-1,-8,9,-0.500000000,-7.500000000,9.500000000,-0.258947385,-7.529195777,9.462342986,1658137041.624929428,1658137044.524908304,2.899978876,54,14,1
-1,-6,9,-0.500000000,-5.500000000,9.500000000,-0.173096295,-5.543209902,9.435470649,1658137041.624929428,1658137044.624745369,2.999815941,56,17,1
-1,5,6,-0.500000000,5.500000000,6.500000000,-0.301162751,5.343875204,6.492271602,1658137041.624929428,1658137044.824914217,3.199984789,56,18,1
-1,-5,9,-0.500000000,-4.500000000,9.500000000,-0.136038858,-4.503389988,9.571980638,1658137041.624929428,1658137044.624745369,2.999815941,53,14,1
0,5,6,0.500000000,5.500000000,6.500000000,0.087366504,5.886040562,6.411680196,1658137041.624929428,1658137044.824914217,3.199984789,19,12,1
0,-4,-12,0.500000000,-3.500000000,-11.500000000,0.435446258,-3.489241639,-11.502923979,1658137041.524841309,1658137044.824914217,3.300072908,73,25,1
0,-3,-12,0.500000000,-2.500000000,-11.500000000,0.486841965,-2.473433720,-11.518912839,1658137041.524841309,1658137044.824914217,3.300072908,71,25,1
0,-11,-9,0.500000000,-10.500000000,-8.500000000,0.284594172,-10.458828499,-8.476380604,1658137041.524841309,1658137044.824914217,3.300072908,67,22,1
0,-5,-11,0.500000000,-4.500000000,-10.500000000,0.396953077,-4.444252586,-10.555799516,1658137041.524841309,1658137044.824914217,3.300072908,30,11,1
0,-2,-12,0.500000000,-1.500000000,-11.500000000,0.507840843,-1.452626639,-11.502028622,1658137041.524841309,1658137044.824914217,3.300072908,67,20,1
-1,-9,-9,-0.500000000,-8.500000000,-8.500000000,-0.334319329,-8.323962212,-8.848484612,1658137041.524841309,1658137044.024915218,2.500073910,10,8,1
-1,-10,-8,-0.500000000,-9.500000000,-7.500000000,-0.199986599,-9.089402914,-7.709599018,1658137041.524841309,1658137043.424738884,1.899897575,4,4,1
-2,-9,-8,-1.500000000,-8.500000000,-7.500000000,-1.279795745,-8.535985262,-7.484440835,1658137041.524841309,1658137044.724828005,3.199986696,46,25,1
0,-12,-7,0.500000000,-11.500000000,-6.500000000,0.120311145,-11.490553109,-6.493750699,1658137041.524841309,1658137044.724828005,3.199986696,60,22,1
0,-10,-7,0.500000000,-9.500000000,-6.500000000,0.198664648,-9.502350973,-6.478270282,1658137041.524841309,1658137044.824914217,3.300072908,69,28,1
0,-13,-6,0.500000000,-12.500000000,-5.500000000,0.030967167,-12.436587528,-5.482934448,1658137041.524841309,1658137044.824914217,3.300072908,54,22,1
0,-13,-5,0.500000000,-12.500000000,-4.500000000,0.023141711,-12.391326498,-4.504459108,1658137041.524841309,1658137044.824914217,3.300072908,61,25,1
0,-13,-4,0.500000000,-12.500000000,-3.500000000,0.031550286,-12.476812134,-3.874874630,1658137041.524841309,1658137044.224855900,2.700014591,25,15,1
-1,-13,-2,-0.500000000,-12.500000000,-1.500000000,-0.073044314,-12.503185817,-1.545852209,1658137041.524841309,1658137044.724828005,3.199986696,49,12,1
-5,-10,-3,-4.500000000,-9.500000000,-2.500000000,-4.031491915,-9.053760211,-2.760819594,1658137041.524841309,1658137042.524814606,0.999973297,3,3,1
-1,-13,-1,-0.500000000,-12.500000000,-0.500000000,-0.128518050,-12.426244828,-0.554413907,1658137041.524841309,1658137044.424809933,2.899968624,31,8,1
-1,-9,1,-0.500000000,-8.500000000,1.500000000,-0.045429135,-8.797651077,1.521745816,1658137041.524841309,1658137044.824914217,3.300072908,49,23,1
0,7,-1,0.500000000,7.500000000,-0.500000000,0.335816160,7.447248986,-0.479244282,1658137041.524841309,1658137044.824914217,3.300072908,57,16,1
-1,-11,6,-0.500000000,-10.500000000,6.500000000,-0.321162712,-10.383136211,6.523538186,1658137041.524841309,1658137044.324722767,2.799881458,39,11,1
-1,-10,6,-0.500000000,-9.500000000,6.500000000,-0.294285412,-9.538532215,6.421553569,1658137041.524841309,1658137044.824914217,3.300072908,45,12,1
-1,-10,7,-0.500000000,-9.500000000,7.500000000,-0.263524948,-9.539535668,7.459397907,1658137041.524841309,1658137044.824914217,3.300072908,46,13,1
-1,-9,7,-0.500000000,-8.500000000,7.500000000,-0.218870036,-8.525467169,7.488096351,1658137041.524841309,1658137044.824914217,3.300072908,42,14,1
-1,3,6,-0.500000000,3.500000000,6.500000000,-0.514181791,3.552658434,6.579515107,1658137041.524841309,1658137044.824914217,3.300072908,83,18,1
-1,3,5,-0.500000000,3.500000000,5.500000000,-0.135492055,3.571649676,5.856109661,1658137041.524841309,1658137044.824914217,3.300072908,23,14,1
-1,-3,9,-0.500000000,-2.500000000,9.500000000,-0.082556696,-2.472509205,9.482410292,1658137041.524841309,1658137044.824914217,3.300072908,48,14,1
-1,3,7,-0.500000000,3.500000000,7.500000000,-0.567689835,3.527205037,7.535141587,1658137041.524841309,1658137044.824914217,3.300072908,72,13,1
-1,3,8,-0.500000000,3.500000000,8.500000000,-0.292610728,3.480960008,8.525264740,1658137041.524841309,1658137044.624745369,3.099904060,66,14,1
-1,-3,10,-0.500000000,-2.500000000,10.500000000,-0.103886150,-2.498898812,10.525559813,1658137041.524841309,1658137044.824914217,3.300072908,64,18,1
-1,-2,10,-0.500000000,-1.500000000,10.500000000,-0.118460761,-1.533373673,10.502549199,1658137041.524841309,1658137044.824914217,3.300072908,70,19,1
-1,2,9,-0.500000000,2.500000000,9.500000000,-0.088798052,2.453585143,9.515491018,1658137041.524841309,1658137044.624745369,3.099904060,51,16,1
0,-11,-6,0.500000000,-10.500000000,-5.500000000,0.118011065,-10.673026817,-5.453548686,1658137041.424759150,1658137044.724828005,3.300068855,43,22,1
0,-10,-10,0.500000000,-9.500000000,-9.500000000,0.381702491,-9.536258737,-9.454378363,1658137041.424759150,1658137044.724828005,3.300068855,73,26,1
0,-1,-11,0.500000000,-0.500000000,-10.500000000,0.412350913,-0.512795600,-10.514883285,1658137041.424759150,1658137044.824914217,3.400155067,86,21,1
0,-11,-7,0.500000000,-10.500000000,-6.500000000,0.162788028,-10.461270773,-6.592766018,1658137041.424759150,1658137044.824914217,3.400155067,93,31,1
0,0,-11,0.500000000,0.500000000,-10.500000000,0.523911028,0.481755712,-10.470696403,1658137041.424759150,1658137044.624745369,3.199986219,62,18,1
0,3,-9,0.500000000,3.500000000,-8.500000000,0.455501853,3.549527445,-8.496184546,1658137041.424759150,1658137044.624745369,3.199986219,63,17,1
-2,-5,-5,-1.500000000,-4.500000000,-4.500000000,-1.830732788,-4.907148157,-4.831668581,1658137041.424759150,1658137043.624813080,2.200053930,7,6,1
-2,-12,-4,-1.500000000,-11.500000000,-3.500000000,-1.334916349,-11.580379994,-3.266529756,1658137041.424759150,1658137044.724828005,3.300068855,62,26,1
-5,-9,-5,-4.500000000,-8.500000000,-4.500000000,-4.528262278,-8.329591419,-4.441042686,1658137041.424759150,1658137044.824914217,3.400155067,109,32,1
-1,1,9,-0.500000000,1.500000000,9.500000000,-0.099067416,1.528321599,9.477728375,1658137041.424759150,1658137044.824914217,3.400155067,57,21,1
-1,-12,-3,-0.500000000,-11.500000000,-2.500000000,-0.301109413,-11.651015336,-2.704213880,1658137041.424759150,1658137044.424809933,3.000050783,53,18,1
-2,-12,-3,-1.500000000,-11.500000000,-2.500000000,-1.259730085,-11.539385174,-2.872105008,1658137041.424759150,1658137044.224855900,2.800096750,23,15,1
-3,-5,-5,-2.500000000,-4.500000000,-4.500000000,-2.146763775,-4.934692277,-4.803377099,1658137041.424759150,1658137044.624745369,3.199986219,9,9,1
-1,-12,1,-0.500000000,-11.500000000,1.500000000,-0.198424867,-11.507008362,1.525965137,1658137041.424759150,1658137044.824914217,3.400155067,70,17,1
-1,-10,-1,-0.500000000,-9.500000000,-0.500000000,-0.048877876,-9.636171951,-0.217226504,1658137041.424759150,1658137044.424809933,3.000050783,25,11,1
0,7,1,0.500000000,7.500000000,1.500000000,0.261988407,7.461687259,1.508707187,1658137041.424759150,1658137044.624745369,3.199986219,39,12,1
0,5,-5,0.500000000,5.500000000,-4.500000000,0.381517271,5.543165360,-4.431744771,1658137041.424759150,1658137044.824914217,3.400155067,56,18,1
-1,-12,3,-0.500000000,-11.500000000,3.500000000,-0.182907747,-11.431838611,3.522858080,1658137041.424759150,1658137044.824914217,3.400155067,68,17,1
0,5,-4,0.500000000,5.500000000,-3.500000000,0.357346642,5.493623420,-3.430423808,1658137041.424759150,1658137044.824914217,3.400155067,67,21,1
-1,-12,2,-0.500000000,-11.500000000,2.500000000,-0.221561836,-11.467079760,2.496088994,1658137041.424759150,1658137044.824914217,3.400155067,75,20,1
0,6,-4,0.500000000,6.500000000,-3.500000000,0.429429527,6.470541542,-3.500920655,1658137041.424759150,1658137044.824914217,3.400155067,81,20,1
0,6,-3,0.500000000,6.500000000,-2.500000000,0.392881577,6.461187040,-2.557733354,1658137041.424759150,1658137044.824914217,3.400155067,71,22,1
-1,-11,4,-0.500000000,-10.500000000,4.500000000,-0.142311836,-10.499968937,4.534396044,1658137041.424759150,1658137044.724828005,3.300068855,56,15,1
-1,-9,6,-0.500000000,-8.500000000,6.500000000,-0.184051765,-8.440199137,6.497565813,1658137041.424759150,1658137044.824914217,3.400155067,36,13,1
