stamp_ns,position_difference_m,rotation_difference_deg
1658137071624896000,2.2977347064907963,5.143370763758673
1658137071724494592,2.29276798137025,5.06264083613107
1658137071822743296,2.302756825352233,5.104082661362384
1658137071923713280,2.30133456716796,5.061857421977155
1658137072022542080,2.2958502816865654,5.094902796613709
1658137072124500992,2.2927814924190817,5.117611062208678
1658137072223206144,2.292521088372368,5.124832234302897
1658137072324713216,2.2951823431264256,5.086752430917855
1658137072424805888,2.3012219136008323,5.038609396171089
1658137072524896512,2.313043892680758,5.098327072175177
1658137072624717312,2.313829595812862,5.054316509945161
1658137072724261376,2.30265662253481,5.0593954845962354
1658137072823167744,2.3031535475396208,4.979811039526851
1658137072924743680,2.3054882585743375,5.026652240821857
1658137073023878656,2.3057848313630473,5.090351242580094
1658137073124805632,2.2987614924853106,5.113679590783271
1658137073223657728,2.2937609016268325,5.109518283471036
1658137073320322304,2.292055338895499,5.171081687222303
1658137073424401920,2.2929290483471725,5.071189749002152
1658137073524761600,2.2951459874102556,5.07885998370069
1658137073623901952,2.2928584705264314,5.077260762913932
1658137073724815616,2.288466527092172,5.050401431367121
1658137073824891392,2.290661071024131,5.124918652991069
1658137073924732672,2.2931002796358957,5.141989173098776
1658137074024815616,2.2945504766848788,5.037224576891476
1658137074122843648,2.297696292718056,5.063737649611139
1658137074224743680,2.296035212440788,5.076151873091463
1658137074322607872,2.2913777566251903,5.0832516055018795
1658137074424720384,2.291856660950188,5.091645710969484
1658137074524810752,2.297399432249213,5.07934311810797
1658137074622066688,2.2869206324734814,5.124674104491802
1658137074724274176,2.283427781936523,5.064234718046598
1658137074824931584,2.2874187694401678,5.0762860875670865
1658137074924763648,2.288743855455522,5.087272238155527
1658137075022039296,2.2983224617434432,5.07412997887994
1658137075124720128,2.299430103874071,5.14113960644725
1658137075224779008,2.302700964325792,5.055754266131355
1658137075323619584,2.310347554585466,5.060021655941702
1658137075424718848,2.3201862477732655,5.1094237119290025
1658137075524836352,2.330851228000332,4.995886543514747
1658137075623707648,2.3281621294751673,5.094598688610739
1658137075724450816,2.3248648096241045,5.103373663763055
1658137075824755200,2.3326950390274597,5.039411710587311
1658137075921195008,2.336725784491028,5.0174444170139445
1658137076024817664,2.3470969847066137,5.031015107943551
1658137076124730112,2.3546408416783766,5.128765621819892
1658137076223211008,2.350678254658903,5.007910397814965
1658137076324840960,2.3618556216057565,5.093760887595811
1658137076424807680,2.3645557953642045,5.146108528235885
1658137076524909056,2.376002929558673,4.990379651731058
1658137076624745984,2.3893095612356965,5.101921511658164
1658137076724518912,2.3834732661832483,5.064040291750521
1658137076824926976,2.397504233844508,5.122181999065994
1658137076923530496,2.393758965101799,5.100098876597067
1658137077024853504,2.4083753725504535,5.054346034400583
1658137077124809728,2.4182852947518767,5.01743728306385
1658137077224879360,2.425085045465236,4.9988695627895545
1658137077323844352,2.439703820480629,5.065470569947388
1658137077424040704,2.446307354145493,5.05073741357959
1658137077522418944,2.4493082548097473,5.068347818327899
1658137077624885760,2.449741812526271,5.082791733531778
1658137077724740096,2.4683173380824766,5.1534584280558615
1658137077824772608,2.4811555971043386,5.07905228392318
1658137077924807168,2.490622732136754,5.030750729720528
1658137078024871936,2.4958501530726522,5.05048001065563
1658137078124732672,2.5013569160733558,4.995173549556586
1658137078222933248,2.498883928876625,5.001629523712459
1658137078324878592,2.50898366936038,5.0522949608313406
1658137078422711040,2.523004759363316,5.0557773206429415
1658137078524472832,2.5276172567889854,5.051248190582015
1658137078623518976,2.53401828979653,5.038267283697027
1658137078723437312,2.5319316646625403,5.065985540830868
1658137078824822784,2.5329726829517765,5.0173218995267845
1658137078924908032,2.5425066274662758,5.05811895206466
1658137079024739328,2.547185826706759,5.063832064681515
1658137079124829440,2.560495261245727,5.030592475004827
1658137079224772608,2.5652069957426265,5.0469834861507055
1658137079324864768,2.5724040819056553,5.039172136169985
1658137079424262400,2.583697674051332,5.123611859472595
1658137079524872960,2.594788533127566,5.076587434873287
1658137079623725568,2.601327190930512,5.021959109846958
1658137079724841216,2.60589463849353,5.078280676905833
1658137079824397312,2.6171354154043764,5.086807350677287
1658137079924646656,2.6267863041462114,5.071869272704169
1658137080022867200,2.629569939883346,5.082109590413843
1658137080124854272,2.633607144912376,5.044219997474434
1658137080224813312,2.6392130305374115,5.043678887077939
1658137080324671744,2.6460669344096766,5.102125055384536
1658137080424450048,2.6595993341678104,5.050556548112208
1658137080524719104,2.670660488747816,5.03255371408319
1658137080624216064,2.666079072078419,5.055482720353918
1658137080722651904,2.6844712084648847,5.052303780242192
1658137080824834560,2.6977876875890634,5.05083438573164
1658137080923618304,2.7034153044302665,5.084445107214095
1658137081024894976,2.7183938304652155,5.0970502123173125
1658137081124519168,2.7206775729115997,5.055436064073452
1658137081224090112,2.7281873454245673,5.086096232355216
1658137081324734720,2.7216378223309827,5.024702573031256
1658137081424654848,2.736647431791518,5.081979238714516
1658137081524732672,2.745363129549207,5.055716368187761
1658137081624879104,2.7550089788721253,5.0519446459550865
1658137081724182016,2.7598799016979925,5.073326172400429
1658137081824429056,2.771894285653282,5.053571289221328
1658137081923612672,2.7708368018932203,5.055226040617722
1658137082023569152,2.7749646266475527,5.082074059805996
1658137082124637952,2.7915512255043153,5.06623893792761
1658137082223185664,2.800508677395041,5.022197200389542
1658137082324730112,2.805120048118164,5.0889577033787186
1658137082424779776,2.806363166631432,5.0281232010194215
