timestamp,frame_index,input_points,observed_voxels,new_voxels,reobserved_voxels,total_tracked_voxels,elapsed_ms
1658137066.424746513,279,2822,2427,16,2411,17894,0.362887
1658137066.524848700,280,3523,3044,13,3031,17907,0.482998
1658137066.624821663,281,3592,3097,22,3075,17929,0.449514
1658137066.724913359,282,3696,3148,15,3133,17944,0.423091
1658137066.824770927,283,2800,2451,11,2440,17955,0.335091
1658137066.924856663,284,4080,3480,8,3472,17963,0.461934
1658137067.024813414,285,3404,2949,22,2927,17985,0.473967
1658137067.124904871,286,4277,3663,31,3632,18016,0.528381
1658137067.224748135,287,3573,3031,22,3009,18038,0.545656
1658137067.324879885,288,3481,3003,12,2991,18050,0.419760
1658137067.424710035,289,3848,3305,10,3295,18060,0.610730
1658137067.524814367,290,3576,3129,7,3122,18067,0.449704
1658137067.624906778,291,4031,3454,13,3441,18080,0.501472
1658137067.724751711,292,3821,3284,11,3273,18091,0.469712
1658137067.824855089,293,3440,2950,12,2938,18103,0.450445
1658137067.924820423,294,3149,2723,10,2713,18113,0.389028
1658137068.024923325,295,3381,2915,22,2893,18135,0.431642
1658137068.124764681,296,3246,2810,17,2793,18152,0.414068
1658137068.224862576,297,3708,3216,11,3205,18163,0.471205
1658137068.324897051,298,4159,3551,14,3537,18177,0.492179
1658137068.424742699,299,3755,3237,18,3219,18195,0.476698
1658137068.524836779,300,3935,3389,14,3375,18209,0.487953
1658137068.624927521,301,4065,3529,9,3520,18218,0.472415
1658137068.724768400,302,3853,3313,7,3306,18225,0.594786
1658137068.824859619,303,3221,2803,10,2793,18235,0.492695
1658137068.924817562,304,3611,3129,6,3123,18241,0.534200
1658137069.024899244,305,3868,3338,7,3331,18248,0.510485
1658137069.124737978,306,3384,2918,8,2910,18256,0.441005
1658137069.224836349,307,3605,3147,8,3139,18264,0.433273
1658137069.324825287,308,3480,3021,6,3015,18270,0.507381
1658137069.424926519,309,4282,3738,9,3729,18279,0.551164
1658137069.524762154,310,4068,3523,10,3513,18289,0.540058
1658137069.624831438,311,3157,2767,8,2759,18297,0.424192
1658137069.724925756,312,3766,3230,14,3216,18311,0.491333
1658137069.824770927,313,4219,3612,7,3605,18318,0.589071
1658137069.924851179,314,4114,3555,8,3547,18326,0.505680
1658137070.024931669,315,3901,3349,10,3339,18336,0.708827
1658137070.124789953,316,3373,2952,6,2946,18342,0.498131
1658137070.224873066,317,4247,3640,8,3632,18350,0.594986
1658137070.324820518,318,4093,3512,2,3510,18352,0.516929
1658137070.424909115,319,3713,3184,8,3176,18360,0.482877
1658137070.524751902,320,3389,2945,6,2939,18366,0.612054
1658137070.624844313,321,2808,2423,8,2415,18374,0.390361
1658137070.724927425,322,4118,3532,1,3531,18375,0.514121
1658137070.824764967,323,4033,3495,10,3485,18385,0.493337
1658137070.924855471,324,3876,3368,6,3362,18391,0.537715
1658137071.024806261,325,3155,2695,1,2694,18392,0.404128
1658137071.124889612,326,3616,3129,4,3125,18396,0.726325
1658137071.224732399,327,3563,3084,9,3075,18405,0.472410
1658137071.324868679,328,3236,2802,11,2791,18416,0.455224
1658137071.424714088,329,3759,3251,13,3238,18429,0.503962
1658137071.524803400,330,3743,3231,7,3224,18436,0.505860
1658137071.624900341,331,3853,3286,5,3281,18441,0.457584
1658137071.724744797,332,3360,2902,8,2894,18449,0.451808
1658137071.824838400,333,4046,3487,7,3480,18456,0.486305
1658137071.924928427,334,4147,3524,3,3521,18459,0.493542
1658137072.024756908,335,3403,2959,12,2947,18471,0.502189
1658137072.124855518,336,3378,2911,18,2893,18489,0.412413
1658137072.224715233,337,3392,2940,6,2934,18495,0.436620
1658137072.324717522,338,3219,2805,6,2799,18501,0.401774
1658137072.424810171,339,3342,2888,6,2882,18507,0.464749
1658137072.524909258,340,3777,3245,3,3242,18510,0.528495
1658137072.624742031,341,4002,3443,5,3438,18515,0.496440
1658137072.724823236,342,3659,3120,4,3116,18519,0.477416
1658137072.824915648,343,3693,3197,6,3191,18525,0.518264
1658137072.924747467,344,3951,3350,9,3341,18534,0.496898
1658137073.024852514,345,3704,3153,8,3145,18542,0.481374
1658137073.124809742,346,3059,2671,6,2665,18548,0.478137
1658137073.224896193,347,3933,3373,3,3370,18551,0.530553
1658137073.324827194,348,2616,2305,4,2301,18555,0.382709
1658137073.424917459,349,3309,2831,6,2825,18561,0.444914
1658137073.524765968,350,2983,2552,9,2543,18570,0.395677
1658137073.624850035,351,4332,3723,6,3717,18576,0.550897
1658137073.724819660,352,3356,2905,10,2895,18586,0.477397
1658137073.824895382,353,3792,3252,19,3233,18605,0.529049
1658137073.924736738,354,3474,2986,7,2979,18612,0.519572
1658137074.024819613,355,3662,3138,7,3131,18619,0.674681
1658137074.124906778,356,3877,3355,7,3348,18626,0.525767
1658137074.224747419,357,4009,3461,5,3456,18631,0.487807
1658137074.324881077,358,3500,3025,5,3020,18636,0.706862
1658137074.424724579,359,3830,3319,8,3311,18644,0.493992
1658137074.524814844,360,3245,2761,18,2743,18662,0.396159
1658137074.624903679,361,3224,2794,11,2783,18673,0.474729
1658137074.724736214,362,4028,3433,16,3417,18689,0.518094
1658137074.824935913,363,3416,2946,23,2923,18712,0.479548
1658137074.924767733,364,3485,2951,25,2926,18737,0.453044
1658137075.024861097,365,3704,3177,67,3110,18804,0.515007
1658137075.124724388,366,4402,3743,68,3675,18872,0.558881
1658137075.224820375,367,3713,3162,60,3102,18932,0.547530
1658137075.324909925,368,4001,3382,76,3306,19008,0.660572
1658137075.424756289,369,4097,3510,78,3432,19086,0.586245
1658137075.524840355,370,4742,4007,94,3913,19180,0.585750
1658137075.624810219,371,4266,3621,67,3554,19247,0.538644
1658137075.724896193,372,4107,3561,102,3459,19349,0.518591
1658137075.824759483,373,4037,3475,78,3397,19427,0.634575
1658137075.924853563,374,3138,2713,58,2655,19485,0.436079
1658137076.024821758,375,3492,3033,47,2986,19532,0.630218
